Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,,,,,,,,,,,,,
7/8/2022 9:35,1,Ayotunde Adeyeri,508,Rasheed Balogun,423,,,,,,,,,,,,,,,,,,,
7/8/2022 9:43,1,Paula Catanese,50,Sammy Okosagah,0,,,,,,,,,,,,,,,,,,,
7/8/2022 9:46,1,Ruth Hamilton,437,Zbigniew Wieckowski,272,,,,,,,,,,,,,,,,,,,
7/8/2022 9:51,1,Wolfram Poh,506,James Curley,433,,,,,,,,,,,,,,,,,,,
7/8/2022 9:55,1,Becky Dyer,422,Terry Kang,406,,,,,,,,,,,,,,,,,,,
7/9/2022 9:55,1,Betty Cornelison,406,David Eldar,367,,,,,,,,,,,,,,,,,,,
7/8/2022 10:54,2,Rasheed Balogun,517,James Curley,488,,,,,,,,,,,,,,,,,,,
7/8/2022 11:00,2,Sammy Okosagah,478,David Eldar,426,,,,,,,,,,,,,,,,,,,
7/8/2022 11:02,2,Terry Kang,387,Betty Cornelison,372,,,,,,,,,,,,,,,,,,,
7/8/2022 11:08,2,Fidelis Olotu,429,Zbigniew Wieckowski,381,,,,,,,,,,,,,,,,,,,
7/8/2022 11:09,1,Mark Kenas,449,Fidelis Olotu,327,,,,,,,,,,,,,,,,,,,
7/8/2022 11:09,2,Ayotunde Adeyeri,507,Ruth Hamilton,436,,,,,,,,,,,,,,,,,,,
7/8/2022 11:09,2,Wolfram Poh,568,Becky Dyer,432,,,,,,,,,,,,,,,,,,,
7/8/2022 11:21,2,Paula Catanese,361,Mark Kenas,361,,,,,,,,,,,,,,,,,,,
7/8/2022 13:30,3,Fidelis Olotu,543,Rasheed Balogun,375,,,,,,,,,,,,,,,,,,,
7/8/2022 13:32,3,Sammy Okosagah,430,Terry Kang,373,,,,,,,,,,,,,,,,,,,
7/8/2022 13:38,3,Paula Catanese,460,Ruth Hamilton,408,,,,,,,,,,,,,,,,,,,
7/8/2022 13:40,3,Mark Kenas,457,Betty Cornelison,441,,,,,,,,,,,,,,,,,,,
7/8/2022 13:41,3,Wolfram Poh,443,Ayotunde Adeyeri,353,,,,,,,,,,,,,,,,,,,
7/8/2022 13:42,3,Becky Dyer,396,David Eldar,358,,,,,,,,,,,,,,,,,,,
7/8/2022 13:44,3,James Curley,370,Zbigniew Wieckowski,345,,,,,,,,,,,,,,,,,,,
7/8/2022 14:25,4,Ayotunde Adeyeri,510,Sammy Okosagah,439,,,,,,,,,,,,,,,,,,,
7/8/2022 14:28,4,James Curley,420,Betty Cornelison,386,,,,,,,,,,,,,,,,,,,
7/8/2022 14:31,4,Rasheed Balogun,483,Terry Kang,356,,,,,,,,,,,,,,,,,,,
7/8/2022 9:43,4,Zbigniew Wieckowski,50,David Eldar,0,,,,,,,,,,,,,,,,,,,
7/8/2022 14:39,4,Becky Dyer,439,Ruth Hamilton,354,,,,,,,,,,,,,,,,,,,
7/8/2022 14:45,4,Mark Kenas,410,Wolfram Poh,398,,,,,,,,,,,,,,,,,,,
7/8/2022 14:46,4,Fidelis Olotu,476,Paula Catanese,460,,,,,,,,,,,,,,,,,,,
7/8/2022 15:19,5,Ruth Hamilton,50,David Eldar,0,,,,,,,,,,,,,,,,,,,
7/8/2022 15:30,5,Terry Kang,493,Zbigniew Wieckowski,419,,,,,,,,,,,,,,,,,,,
7/8/2022 15:35,5,Rasheed Balogun,628,Betty Cornelison,270,,,,,,,,,,,,,,,,,,,
7/8/2022 15:35,5,Sammy Okosagah,420,James Curley,354,,,,,,,,,,,,,,,,,,,
7/8/2022 15:42,5,Becky Dyer,513,Paula Catanese,361,,,,,,,,,,,,,,,,,,,
7/8/2022 15:43,5,Wolfram Poh,397,Fidelis Olotu,354,,,,,,,,,,,,,,,,,,,
7/8/2022 15:43,5,Mark Kenas,481,Ayotunde Adeyeri,370,,,,,,,,,,,,,,,,,,,
7/8/2022 16:27,6,Fidelis Olotu,414,Sammy Okosagah,376,,,,,,,,,,,,,,,,,,,
7/8/2022 16:28,6,Ruth Hamilton,451,James Curley,398,,,,,,,,,,,,,,,,,,,
7/8/2022 16:29,6,Zbigniew Wieckowski,469,Terry Kang,382,,,,,,,,,,,,,,,,,,,
7/8/2022 16:30,6,Becky Dyer,462,Rasheed Balogun,422,,,,,,,,,,,,,,,,,,,
7/8/2022 16:42,6,Ayotunde Adeyeri,414,Paula Catanese,365,,,,,,,,,,,,,,,,,,,
7/8/2022 16:47,6,Betty Cornelison,50,David Eldar,0,,,,,,,,,,,,,,,,,,,
7/8/2022 16:50,6,Mark Kenas,400,Wolfram Poh,370,,,,,,,,,,,,,,,,,,,
